atribut_ttl,atribut_ack,atribut_windows_value
64,17360,478
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
64,18808,490
128,1554,256
128,1554,256
64,20256,501
128,1554,256
128,1554,256
64,21704,512
128,1554,256
128,1554,256
64,23152,524
128,1554,256
128,1554,256
64,24600,535
128,1554,256
128,1554,256
128,1554,256
64,26048,546
128,1554,256
128,1554,256
64,27496,558
128,1554,256
128,1554,256
64,28944,569
128,1554,256
128,1554,256
64,30392,580
128,1554,256
128,1554,256
64,31840,592
128,1554,256
128,1554,256
64,33288,603
128,1554,256
128,1554,256
64,34736,614
128,1554,256
128,1554,256
64,36184,625
128,1554,256
128,1554,256
64,37632,637
128,1554,256
128,1554,256
64,39080,648
128,1554,256
128,1554,256
64,40528,659
128,1554,256
128,1554,256
64,41976,671
128,1554,256
64,43424,682
64,44872,693
64,46320,705
64,47768,716
64,49216,727
64,50664,739
64,52095,750
64,53543,761
64,54991,773
64,56439,773
64,57887,773
64,59335,773
64,60783,773
64,62231,773
64,63679,773
64,65127,773
64,66575,773
64,68023,773
64,69471,773
64,70919,773
64,72367,773
64,73815,773
64,75263,773
64,76711,773
64,78159,773
64,81055,773
64,83951,773
64,84572,773
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
64,87468,773
64,90364,773
64,93260,773
64,96156,773
64,99052,773
64,101948,773
64,104844,773
64,107740,773
64,110636,773
64,113532,773
64,116428,773
64,118220,773
64,121116,773
64,124012,773
64,126908,773
64,129804,773
64,132700,773
64,135596,773
64,138492,773
64,141388,773
64,144284,773
64,147180,773
64,150076,773
64,151860,773
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
64,154756,773
64,157652,773
64,160548,773
64,163444,773
64,166340,773
64,169236,773
64,172132,773
64,175028,773
64,177924,773
64,180820,773
64,183716,773
64,185512,773
64,188408,773
64,191304,773
64,194200,773
64,197096,773
64,199992,773
64,202888,773
64,205784,773
64,208680,773
64,211576,773
64,214472,773
64,217368,773
64,219256,773
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
128,1554,256
